,id,Type,query,value
0,0,top,berrettini,100
1,0,top,ajla tomljanovic berrettini,100
2,0,top,berrettini tomljanovic,100
3,0,top,matteo berrettini,52
4,0,top,matteo berrettini ajla tomljanovic,51
5,0,top,ajla tomljanovic matteo berrettini,51
6,0,top,kyrgios ajla tomljanovic,50
7,0,top,kyrgios,50
8,0,top,tennis ajla tomljanovic,49
9,0,top,tennis,49
10,0,top,tomljanovic tennis,49
11,0,top,nick kyrgios ajla tomljanovic,36
12,0,top,nick kyrgios,35
13,0,top,ajla tomljanović,24
14,0,top,wimbledon,23
15,0,top,ajla tomljanovic wimbledon,23
16,0,top,ajla tomljanovic instagram,20
17,0,top,us open,20
18,0,top,ajla tomljanovic us open,20
19,0,top,ajla tomljanovic ranking,19
20,0,top,tomljanovic ranking,18
21,0,top,serena williams,18
22,0,top,fidanzata berrettini,16
23,0,top,ajla tomljanovic boyfriend,14
24,0,top,tomljanovic boyfriend,14
25,0,rising,berrettini,1493850
26,0,rising,berrettini tomljanovic,1487200
27,0,rising,matteo berrettini,769950
28,0,rising,matteo berrettini ajla tomljanovic,768950
29,0,rising,ajla tomljanovic matteo berrettini,767250
30,0,rising,fidanzata berrettini,239950
31,0,rising,berrettini girlfriend ajla tomljanovic,192000
32,0,rising,berrettini girlfriend,188550
33,0,rising,emma raducanu,153950
34,0,rising,ajla tomljanovic and berrettini,121850
35,0,rising,ostapenko,105050
36,0,rising,matteo berrettini girlfriend ajla tomljanovic,90050
37,0,rising,us open tennis,87900
38,0,rising,matteo berrettini girlfriend,87000
39,0,rising,matteo berrettini fidanzata,81500
40,0,rising,us open 2022,78350
41,0,rising,ajla tomljanovic and matteo berrettini,70750
42,0,rising,anisimova,70050
43,0,rising,sinner,66150
44,0,rising,matteo berrettini and ajla tomljanovic,66100
45,0,rising,berrettini instagram,61750
46,0,rising,ons jabeur,61450
47,0,rising,ajla tomljanovic net worth,60400
48,0,rising,rybakina,60350
49,0,rising,wimbledon 2022,59450
50,1,top,li ann tennis,100
51,1,top,li tennis,99
52,1,top,ann li vs,43
53,1,top,ann li wta,23
54,1,top,wta,22
55,1,top,ann lee,21
56,1,top,ann arbor,19
57,1,top,thio li ann,18
58,1,top,ann li live,15
59,1,top,ann li us open,15
60,1,top,us open,14
61,1,top,australian open,14
62,1,top,an li,14
63,1,top,ann li ranking,12
64,1,top,anna li,11
65,1,top,ann li prediction,10
66,1,top,anne li,9
67,1,top,ann taylor,9
68,1,top,ann li pbb,9
69,1,top,sabalenka,8
70,1,top,chun li,7
71,1,top,ann li score,7
72,1,top,camila osorio,6
73,1,top,claire liu,6
74,1,top,svitolina,6
75,1,rising,australian open,185950
76,1,rising,sabalenka,102200
77,1,rising,camila osorio,83700
78,1,rising,svitolina,76950
79,1,rising,ons jabeur,60300
80,1,rising,tsitsipas,59250
81,1,rising,coco gauff,57600
82,1,rising,sakkari,57600
83,1,rising,wang xinyu,56950
84,1,rising,mayar sherif,55800
85,1,rising,french open,54350
86,1,rising,ann li flashscore,53100
87,1,rising,jennifer brady,48550
88,1,rising,serena williams,48350
89,1,rising,kontaveit,47700
90,1,rising,anett kontaveit,45800
91,1,rising,miami open,45500
92,1,rising,nao hibino,43750
93,1,rising,wta ranking,43750
94,1,rising,zhang shuai,43050
95,1,rising,elise mertens,42750
96,1,rising,halep,41800
97,1,rising,osorio serrano,41700
98,1,rising,ann li tennis score,39150
99,1,rising,clara tauson,38350
100,2,top,tauson tennis,100
101,2,top,tennis clara tauson,100
102,2,top,tennis,99
103,2,top,clara tauson næste kamp,58
104,2,top,tauson næste kamp,57
105,2,top,wta,55
106,2,top,wta clara tauson,55
107,2,top,holger rune,43
108,2,top,clara tauson live,35
109,2,top,clara tauson ranking,25
110,2,top,clara tauson tv,21
111,2,top,clara tauson australian open,18
112,2,top,australian open,18
113,2,top,hvornår spiller clara tauson,16
114,2,top,clara tauson tv2,16
115,2,top,tv2,16
116,2,top,clara tauson french,15
117,2,top,french open,14
118,2,top,clara tauson french open,14
119,2,top,flashscore,13
120,2,top,clara tauson flashscore,13
121,2,top,atp,13
122,2,top,wta ranking clara tauson,13
123,2,top,clara tauson instagram,12
124,2,top,bt,12
125,2,rising,clara tauson næste kamp,602150
126,2,rising,tauson næste kamp,596700
127,2,rising,clara tauson live,367500
128,2,rising,clara tauson ranking,264900
129,2,rising,clara tauson tv,220050
130,2,rising,hvornår spiller clara tauson,169050
131,2,rising,clara tauson tv2,168150
132,2,rising,clara tauson french,152750
133,2,rising,french open,143550
134,2,rising,flashscore,139000
135,2,rising,clara tauson flashscore,136300
136,2,rising,atp,131300
137,2,rising,clara tauson instagram,128350
138,2,rising,bt,125200
139,2,rising,raducanu,122950
140,2,rising,tennis live,117450
141,2,rising,clara tauson program,115300
142,2,rising,danielle collins,114650
143,2,rising,us open,109500
144,2,rising,wta tennis,107650
145,2,rising,emma raducanu,106600
146,2,rising,wimbledon,105700
147,2,rising,clara tauson wimbledon,103500
148,2,rising,nyheder,96350
149,2,rising,roland garros,80100
150,3,top,tennis emma raducanu,100
151,3,top,emma tennis,100
152,3,top,tennis,96
153,3,top,raducanu tennis,96
154,3,top,emma raducanu us open,66
155,3,top,us open,60
156,3,top,fernandez,44
157,3,top,emma raducanu parents,38
158,3,top,emma raducanu wimbledon,35
159,3,top,wimbledon,33
160,3,top,leylah fernandez,32
161,3,top,emma raducanu news,24
162,3,top,tennis us open,14
163,3,top,us open tennis emma raducanu,14
164,3,top,emma raducanu us open 2021,13
165,3,top,us open 2021,13
166,3,top,emma raducanu ranking,12
167,3,top,murray,12
168,3,top,emma raducanu wta,11
169,3,top,wta,10
170,3,top,andy murray,10
