id,Name,Country,Height,Weight,Age,Birthday,Current rank,Higher rank,sex,plays,match win,match lose,titles,Career Total
0,ajla tomljanovic, Australia,180 ,67.0,29,1993-07-05,34.0,33,woman, right,387,292,0,5650758.0
1,ann li, USA,160 ,50.0,22,2000-06-26,167.0,44,woman, right,158,105,1,1486588.0
2,clara tauson, Denmark,,,20,2002-12-21,138.0,33,woman, right,165,61,3,1123352.0
3,emma raducanu, Great Britain,,,20,2002-11-13,77.0,10,woman, right,112,51,1,3538908.0
4,naomi osaka, Japan,180 ,69.0,25,1997-10-16,65.0,1,woman, right,285,157,7,21177252.0
5,alison riske, USA,175 ,66.0,32,1990-03-07,55.0,18,woman, right,420,341,3,6538253.0
6,alison van uytvanck, Belgium,173 ,63.0,28,1994-03-26,76.0,37,woman, right,385,260,7,4072962.0
7,alize cornet, France,173 ,60.0,33,1990-01-22,58.0,11,woman, right,555,439,6,9638241.0
8,anastasia pavlyuchenkova, Russia,177 ,72.0,31,1991-03-07,846.0,11,woman, right,465,323,12,12346349.0
9,andrea petkovic, Germany,180 ,69.0,35,1987-09-09,,9,woman, right,547,380,7,8829248.0
10,anett kontaveit, Estonia,174 ,65.0,27,1995-12-24,18.0,2,woman, right,411,204,6,7804775.0
11,angelique kerber, Germany,173 ,68.0,35,1988-01-18,106.0,1,woman, left,701,372,16,31886468.0
12,arantxa rus, Netherlands,180 ,65.0,32,1990-12-13,112.0,61,woman, left,639,393,0,2731329.0
13,aryna sabalenka, Belarus,182 ,80.0,24,1998-05-05,2.0,2,woman, right,323,163,13,12174910.0
14,ashleigh barty, Australia,166 ,62.0,26,1996-04-24,,1,woman, right,318,108,15,23829070.0
15,barbora krejcikova, Czech Republic,178 ,62.0,27,1995-12-18,30.0,2,woman, right,395,206,5,8754074.0
16,barbora strycova, Czech Republic,164 ,60.0,36,1986-03-28,,16,woman, right,604,434,2,12057534.0
17,belinda bencic, Switzerland,175 ,63.0,25,1997-10-03,9.0,4,woman, right,392,202,8,10620404.0
18,bethanie mattek, USA,168 ,66.0,37,1985-03-23,,30,woman, right,378,319,25,8144409.0
19,bianca andreescu, Canada,170 ,60.0,22,2000-06-16,42.0,4,woman, right,181,79,4,8197463.0
20,camila giorgi, Italy,168 ,54.0,31,1991-12-30,69.0,26,woman, right,410,304,3,5578595.0
